Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.0,Stand,Control,9.605550119,-1.009930381,-2.823279907,1.009930381,2.823279907,-1.470730016,0.2102445165,-0.4708899105,-0.2102445165,0.4708899105,5.146509931,1.341704627,3.715455428,3.60004804,-4.818726815,11.28677782,6.547811157,-1.574527382,8.726818534,2.53164115,3.988635164,4.054314934,0.1720680387,-4.74933874,7.563558938,6.3595543,8.042223753,0.4800035775
0.005,,Control,9.60056681,-0.9982466278,-2.805928583,0.9982466278,2.805928583,-1.479069877,0.2143552784,-0.4724367202,-0.2143552784,0.4724367202,5.142917597,1.293458618,3.676964438,3.601389761,-4.853386052,11.34560017,6.625481414,-1.568525339,8.736029555,2.491033598,4.031951725,4.048907196,0.1561090401,-4.746813967,7.4852322,6.346101426,8.063607737,0.4986319496
0.01,,Control,9.595389913,-0.9864678005,-2.788384367,0.9864678005,2.788384367,-1.487363007,0.2184369133,-0.4737649668,-0.2184369133,0.4737649668,5.138858229,1.244885615,3.638195468,3.602624121,-4.88806682,11.40452512,6.703544385,-1.562226724,8.744647627,2.449972956,4.075289057,4.043398344,0.1401751621,-4.74410877,7.406327596,6.332456956,8.084740655,0.5176023517
0.015,,Control,9.590007934,-0.9745989197,-2.770655215,0.9745989197,2.770655215,-1.495592172,0.2224874723,-0.4748532226,-0.2224874723,0.4748532226,5.134314032,1.196020381,3.599170977,3.603742906,-4.922741588,11.46350419,6.781963018,-1.555631478,8.752635044,2.408476135,4.118607658,4.037769286,0.1242784251,-4.741205153,7.326895955,6.318629708,8.105585124,0.5369107858
0.02,,Control,9.583905361,-0.9615930662,-2.751473365,0.9615930662,2.751473365,-1.503924231,0.2275502567,-0.4751569105,-0.2275502567,0.4751569105,5.128743908,1.143370793,3.557009798,3.605170443,-4.960804917,11.52712562,6.867316851,-1.550351014,8.762856378,2.363288318,4.165961446,4.030519057,0.1067565948,-4.736943394,7.241392916,6.304190026,8.127350605,0.5573371918
0.025,,Control,9.576895898,-0.9475389309,-2.730901007,0.9475389309,2.730901007,-1.512072388,0.2336458683,-0.474261738,-0.2336458683,0.474261738,5.121451806,1.087425738,3.51209018,3.606776947,-5.001691815,11.59430205,6.958450239,-1.546536595,8.774996467,2.314554658,4.216739164,4.021523789,0.08780796402,-4.731072761,7.150634089,6.289218918,8.149066757,0.5788789991
0.03,,Control,9.568787666,-0.9325648262,-2.709038217,0.9325648262,2.709038217,-1.519769149,0.2407632234,-0.4718179316,-0.2407632234,0.4718179316,5.111743059,1.028709706,3.464835864,3.608417926,-5.044692123,11.6638235,7.053940491,-1.54432176,8.788789178,2.262516373,4.270274624,4.010833597,0.06767182287,-4.723486938,7.055525734,6.273789346,8.169768041,0.6015153233
0.035,,Control,9.559368863,-0.9168337116,-2.686020615,0.9168337116,2.686020615,-1.526775142,0.2488570134,-0.467566766,-0.2488570134,0.467566766,5.098968372,0.9677509486,3.415689156,3.609934396,-5.088963617,11.73442924,7.152211407,-1.543812298,8.804040218,2.207506291,4.325883055,3.998679746,0.0466202699,-4.714261198,6.957007757,6.257964165,8.188573551,0.6252046952
0.04,,Control,9.548408326,-0.9005351245,-2.662010136,0.9005351245,2.662010136,-1.532887738,0.2578487886,-0.4613553177,-0.2578487886,0.4613553177,5.082561658,0.9050641741,3.36510297,3.611150072,-5.133561951,11.80488629,7.251665003,-1.54506574,8.820630721,2.149932564,4.382882217,3.985455902,0.02494479096,-4.703681024,6.856007151,6.241794917,8.204762917,0.6498785729
0.045,,Control,9.535668222,-0.8838758521,-2.637183027,0.8838758521,2.637183027,-1.537958732,0.267632493,-0.4531394063,-0.267632493,0.4531394063,5.062085236,0.8411450323,3.313548845,3.611867185,-5.17748654,11.8740739,7.350814929,-1.548068545,8.83850642,2.090252238,4.440617233,3.971685982,0.002941851853,-4.692228771,6.753397065,6.225330921,8.217806655,0.6754466052
0.05,,Control,9.520919016,-0.8670682847,-2.611726387,0.8670682847,2.611726387,-1.541910952,0.2780835181,-0.4429757882,-0.2780835181,0.4429757882,5.037274533,0.7764684986,3.261524519,3.611865087,-5.219729468,11.94105879,7.448399235,-1.552718542,8.857656987,2.028951661,4.498468122,3.957976231,-0.01908945515,-4.680546903,6.649973347,6.208635524,8.227387824,0.7017992431
0.055,,Control,9.503956403,-0.8503200676,-2.585838961,0.8503200676,2.585838961,-1.544754517,0.2890720768,-0.4310036662,-0.2890720768,0.4310036662,5.008070305,0.7114891622,3.209541252,3.610895947,-5.259306337,12.00514929,7.543463189,-1.558814646,8.878086004,1.966533131,4.555851488,3.944966405,-0.04084872409,-4.669383126,6.546444861,6.191802799,8.233400893,0.7288117518
0.06,,Control,9.484619058,-0.8338231433,-2.559729704,0.8338231433,2.559729704,-1.546591275,0.300483646,-0.4174202684,-0.300483646,0.4174202684,4.974624586,0.6466340308,3.158088525,3.608684005,-5.295259099,12.06592351,7.635394455,-1.566058145,8.899773821,1.903497591,4.61222119,3.933281921,-0.06203751484,-4.659525848,6.443432371,6.174966987,8.235932146,0.756352336
0.065,,Control,9.462802791,-0.8177428324,-2.533625276,0.8177428324,2.533625276,-1.547609918,0.3122337894,-0.4024500727,-0.3122337894,0.4024500727,4.937277554,0.5822838801,3.107589435,3.604936557,-5.326646216,12.12322112,7.723914165,-1.574061242,8.922644889,1.840325783,4.667072096,3.923499581,-0.08236475547,-4.651734553,6.341473318,6.158302474,8.235220248,0.7842898184
0.07,,Control,9.438474641,-0.8022111558,-2.507777058,0.8022111558,2.507777058,-1.548070456,0.3242727489,-0.3863173652,-0.3242727489,0.3863173652,4.896505754,0.5187547088,3.058373669,3.599360012,-5.352545411,12.17710365,7.80902809,-1.582362746,8.946540136,1.77745662,4.719941735,3.916123782,-0.1015521155,-4.646671259,6.241031457,6.142008707,8.231602383,0.8125009881
